"","Time","FStat","AdjPvalue","r2","ROI","Condition","Emotion"
"T_100",-0.457700000000017,1.00930998891656,0.452901100763147,0.000592954343152097,"Visual","Ekman","Anger"
"T_101",1.54999999999998,0.976986517374955,0.466711084134498,0.00055560415229694,"Visual","Ekman","Anger"
"T_102",3.55769999999998,0.93282856739563,0.475620815001947,0.000506539523057681,"Visual","Ekman","Anger"
"T_103",5.56539999999998,0.764917970466552,0.541587362754662,0.000340652408845621,"Visual","Ekman","Anger"
"T_104",7.57309999999998,0.319601632356217,0.826161445782683,5.94869697705391e-05,"Visual","Ekman","Anger"
"T_105",9.58079999999998,-0.0863347531509698,0.952893070476554,4.34109332814181e-06,"Visual","Ekman","Anger"
"T_106",11.5885,-0.961199279278577,0.471222244326248,0.000537802665359632,"Visual","Ekman","Anger"
"T_107",13.5962,-1.6154710235145,0.250188496329407,0.00151763889041268,"Visual","Ekman","Anger"
"T_108",15.6039,-1.9728399708159,0.198365750143639,0.0022616743699323,"Visual","Ekman","Anger"
"T_109",17.6116,-1.68442682807679,0.237406558635413,0.00164974544363805,"Visual","Ekman","Anger"
"T_110",19.6193,-2.62505883514672,0.186545196487859,0.00399731430366079,"Visual","Ekman","Anger"
"T_111",21.627,-2.6557298009658,0.186545196487859,0.0040908842023144,"Visual","Ekman","Anger"
"T_112",23.6347,-2.91912263194589,0.186545196487859,0.0049383783638115,"Visual","Ekman","Anger"
"T_113",25.6424,-2.70235305635633,0.186545196487859,0.00423516821623149,"Visual","Ekman","Anger"
"T_114",27.6501,-1.98034496968188,0.198365750143639,0.00227887535387883,"Visual","Ekman","Anger"
"T_115",29.6578,-1.13131164190681,0.416713579543939,0.000744853068708751,"Visual","Ekman","Anger"
"T_116",31.6655,0.0957328304811253,0.948965614634905,5.33763885468552e-06,"Visual","Ekman","Anger"
"T_117",33.6732,0.115661099714534,0.939135165879748,7.79113905724493e-06,"Visual","Ekman","Anger"
"T_118",35.6809,0.611518880300478,0.633796141158841,0.000217748347586699,"Visual","Ekman","Anger"
"T_119",37.6886,1.22189667673796,0.397596681340376,0.000868802759898202,"Visual","Ekman","Anger"
"T_120",39.6963,1.02215182342017,0.448362936895784,0.000608129865738771,"Visual","Ekman","Anger"
"T_121",41.704,1.71844228620359,0.236264348164514,0.00171693285552277,"Visual","Ekman","Anger"
"T_122",43.7117,2.15586184719724,0.195522262928432,0.00269958842067164,"Visual","Ekman","Anger"
"T_123",45.7194,1.89292173853313,0.204877091943487,0.00208252225564998,"Visual","Ekman","Anger"
